Item,Frequency
1,0.00996745467609988
2,0.00996843651874043
3,0.009969408488683773
4,0.009970370583023237
5,0.009971322798881497
6,0.009972265133410598
7,0.009973197583791947
8,0.00997412014723635
9,0.00997503282098401
10,0.009975935602304547
11,0.009976828488497014
12,0.009977711476889905
13,0.009978584564841176
14,0.009979447749738243
15,0.009980301028998015
16,0.009981144400066888
17,0.009981977860420781
18,0.009982801407565118
19,0.009983615039034867
20,0.009984418752394537
21,0.0099852125452382
22,0.009985996415189496
23,0.009986770359901642
24,0.009987534377057457
25,0.009988288464369364
26,0.009989032619579397
27,0.009989766840459222
28,0.009990491124810146
29,0.009991205470463123
30,0.009991909875278768
31,0.009992604337147371
32,0.0099932888539889
33,0.009993963423753017
34,0.00999462804441909
35,0.009995282713996193
36,0.009995927430523131
37,0.009996562192068435
38,0.00999718699673038
39,0.009997801842636997
40,0.009998406727946075
41,0.009999001650845168
42,0.009999586609551615
43,0.01000016160231255
44,0.010000726627404888
45,0.010001281683135363
46,0.010001826767840519
47,0.010002361879886717
48,0.010002887017670156
49,0.010003402179616873
50,0.010003907364182748
51,0.010004402569853514
52,0.010004887795144768
53,0.010005363038601982
54,0.010005828298800493
55,0.010006283574345527
56,0.010006728863872204
57,0.010007164166045537
58,0.010007589479560442
59,0.010008004803141748
60,0.010008410135544201
61,0.01000880547555247
62,0.01000919082198115
63,0.010009566173674773
64,0.010009931529507817
65,0.010010286888384696
66,0.010010632249239787
67,0.010010967611037414
68,0.010011292972771873
69,0.01001160833346742
70,0.010011913692178288
71,0.010012209047988684
72,0.0100124944000128
73,0.010012769747394807
74,0.010013035089308878
75,0.010013290424959171
76,0.010013535753579845
77,0.010013771074435065
78,0.010013996386818994
79,0.010014211690055813
80,0.010014416983499709
81,0.01001461226653489
82,0.010014797538575582
83,0.010014972799066033
84,0.010015138047480512
85,0.010015293283323323
86,0.010015438506128793
87,0.010015573715461287
88,0.010015698910915201
89,0.010015814092114968
90,0.010015919258715058
91,0.010016014410399987
92,0.010016099546884304
93,0.010016174667912608
94,0.010016239773259541
95,0.010016294862729792
96,0.01001633993615809
97,0.010016374993409216
98,0.010016400034378
99,0.010016415058989321
100,0.010016420067198101
