Item,Frequency
1,0.00999191757399929
2,0.00999240718995591
3,0.009992886837012466
4,0.009993356513731122
5,0.009993816218703886
6,0.009994265950552618
7,0.009994705707929034
8,0.009995135489514712
9,0.009995555294021106
10,0.00999596512018954
11,0.009996364966791226
12,0.009996754832627266
13,0.009997134716528654
14,0.009997504617356288
15,0.009997864534000974
16,0.009998214465383426
17,0.009998554410454281
18,0.009998884368194101
19,0.009999204337613367
20,0.009999514317752499
21,0.009999814307681858
22,0.010000104306501743
23,0.010000384313342403
24,0.010000654327364036
25,0.010000914347756799
26,0.010001164373740806
27,0.010001404404566133
28,0.01000163443951283
29,0.010001854477890912
30,0.010002064519040373
31,0.01000226456233118
32,0.010002454607163284
33,0.01000263465296662
34,0.010002804699201109
35,0.010002964745356661
36,0.010003114790953182
37,0.010003254835540565
38,0.010003384878698705
39,0.010003504920037497
40,0.01000361495919683
41,0.010003714995846605
42,0.010003805029686721
43,0.01000388506044708
44,0.010003955087887598
45,0.010004015111798199
46,0.010004065131998807
47,0.010004105148339368
48,0.010004135160699831
49,0.010004155168990161
50,0.010004165173150333
51,0.010004165173150333
52,0.010004155168990161
53,0.010004135160699831
54,0.010004105148339368
55,0.010004065131998807
56,0.010004015111798199
57,0.010003955087887598
58,0.01000388506044708
59,0.010003805029686721
60,0.010003714995846605
61,0.01000361495919683
62,0.010003504920037497
63,0.010003384878698705
64,0.010003254835540565
65,0.010003114790953182
66,0.010002964745356661
67,0.010002804699201109
68,0.01000263465296662
69,0.010002454607163284
70,0.01000226456233118
71,0.010002064519040373
72,0.010001854477890912
73,0.01000163443951283
74,0.010001404404566133
75,0.010001164373740806
76,0.010000914347756799
77,0.010000654327364036
78,0.010000384313342403
79,0.010000104306501743
80,0.009999814307681858
81,0.009999514317752499
82,0.009999204337613367
83,0.009998884368194101
84,0.009998554410454281
85,0.009998214465383426
86,0.009997864534000974
87,0.009997504617356288
88,0.009997134716528654
89,0.009996754832627266
90,0.009996364966791226
91,0.00999596512018954
92,0.009995555294021106
93,0.009995135489514712
94,0.009994705707929034
95,0.009994265950552618
96,0.009993816218703886
97,0.009993356513731122
98,0.009992886837012466
99,0.00999240718995591
100,0.00999191757399929
