Item,Frequency
1,0.010065710736325175
2,0.010065690604923834
3,0.010065630210961386
4,0.010065529555162555
5,0.0100653886387352
6,0.010065207463370286
7,0.010064986031241854
8,0.010064724345006978
9,0.01006442240780571
10,0.010064080223261013
11,0.010063697795478704
12,0.010063275129047351
13,0.010062812229038195
14,0.01006230910100505
15,0.010061765750984178
16,0.010061182185494184
17,0.010060558411535876
18,0.010059894436592129
19,0.010059190268627734
20,0.010058445916089238
21,0.01005766138790478
22,0.010056836693483905
23,0.010055971842717382
24,0.010055066845977002
25,0.010054121714115374
26,0.010053136458465705
27,0.010052111090841578
28,0.010051045623536715
29,0.010049940069324722
30,0.010048794441458848
31,0.010047608753671713
32,0.010046383020175027
33,0.010045117255659325
34,0.010043811475293651
35,0.010042465694725274
36,0.010041079930079362
37,0.010039654197958667
38,0.010038188515443192
39,0.01003668290008985
40,0.010035137369932114
41,0.01003355194347965
42,0.010031926639717968
43,0.01003026147810801
44,0.010028556478585799
45,0.010026811661562007
46,0.010025027047921575
47,0.010023202659023279
48,0.010021338516699313
49,0.010019434643254844
50,0.010017491061467581
51,0.01001550779458731
52,0.010013484866335435
53,0.010011422300904505
54,0.010009320122957724
55,0.010007178357628476
56,0.010004997030519805
57,0.010002776167703923
58,0.01000051579572168
59,0.009998215941582027
60,0.009995876632761504
61,0.009993497897203666
62,0.009991079763318544
63,0.009988622259982071
64,0.009986125416535511
65,0.009983589262784871
66,0.009981013829000318
67,0.009978399145915562
68,0.009975745244727255
69,0.009973052157094368
70,0.009970319915137566
71,0.009967548551438561
72,0.009964738099039468
73,0.009961888591442153
74,0.009959000062607559
75,0.00995607254695504
76,0.009953106079361673
77,0.009950100695161562
78,0.009947056430145143
79,0.009943973320558474
80,0.00994085140310251
81,0.009937690714932378
82,0.009934491293656639
83,0.009931253177336546
84,0.009927976404485282
85,0.009924661014067204
86,0.009921307045497069
87,0.00991791453863925
88,0.009914483533806943
89,0.009911014071761388
90,0.009907506193711032
91,0.009903959941310738
92,0.009900375356660948
93,0.009896752482306861
94,0.009893091361237573
95,0.009889392036885243
96,0.009885654553124235
97,0.009881878954270234
98,0.00987806528507939
99,0.009874213590747425
100,0.009870323916908735
